Drug name	Disease name
Imipramine	Enuresis, Nocturnal, 2; Enur2
Imipramine	Insensitivity To Pain With Hyperplastic Myelinopathy
Imipramine	Panic Disorder 1; Pand1
Imiquimod	Ankylosing Vertebral Hyperostosis With Tylosis
Indapamide	Enteropathy, Familial, With Villous Edema And Immunoglobulin G2 Deficiency
Indapamide	Hydrops-Ectopic Calcification-Moth-Eaten Skeletal Dysplasia
Indapamide	Hypertension, Diastolic, Resistance To
Indapamide	Nephrotic Syndrome, Early-Onset, With Diffuse Mesangial Sclerosis
Indapamide	Renal Failure, Progressive, With Hypertension
Indomethacin	Arthropathy, Progressive Pseudorheumatoid, Of Childhood; Ppac
Indomethacin	Bartter Syndrome, Type 4A
Indomethacin	Exostoses Of Heel
Indomethacin	Exostoses With Anetodermia And Brachydactyly, Type E
Indomethacin	Gitelman Syndrome
Indomethacin	Insensitivity To Pain With Hyperplastic Myelinopathy
Indomethacin	Letterer-Siwe Disease
Indomethacin	Migraine With Or Without Aura, Susceptibility To, 1
Indomethacin	Osteoarthritis Susceptibility 1; Os1
Indomethacin	Osteoarthritis Susceptibility 2; Os2
Indomethacin	Osteoarthritis Susceptibility 3; Os3
Indomethacin	Sensory Ataxic Neuropathy, Dysarthria, And Ophthalmoparesis; Sando
Ipratropium	Asthma, Nasal Polyps, And Aspirin Intolerance
Ipratropium	Asthma, Susceptibility To
Ipratropium	Berry Aneurysm, Cirrhosis, Pulmonary Emphysema, And Cerebral Calcification
Irbesartan	Diabetes Mellitus, Noninsulin-Dependent; Niddm
Irbesartan	Hypertension, Diastolic, Resistance To
Irbesartan	Hypoparathyroidism, Sensorineural Deafness, And Renal Disease
Irbesartan	Maturity-Onset Diabetes Of The Young, Type 1; Mody1
Irbesartan	Maturity-Onset Diabetes Of The Young, Type 2; Mody2
Irbesartan	Maturity-Onset Diabetes Of The Young, Type 3; Mody3
Irbesartan	Renal Failure, Progressive, With Hypertension
Irinotecan	Colorectal Cancer; Crc
Irinotecan	Dohle Bodies And Leukemia
Irinotecan	Leukemia, Acute Myelocytic, With Polyposis Coli And Colon Cancer
Irinotecan	Mismatch Repair Cancer Syndrome
Isoetharine	Asthma, Nasal Polyps, And Aspirin Intolerance
Isoetharine	Asthma, Susceptibility To
Isoetharine	Berry Aneurysm, Cirrhosis, Pulmonary Emphysema, And Cerebral Calcification
Isoproterenol	Asthma, Nasal Polyps, And Aspirin Intolerance
Isoproterenol	Asthma, Susceptibility To
Isoproterenol	Cardiac Arrhythmia
Isosorbide Dinitrate	Coronary Artery Disease, Autosomal Dominant, 1; Adcad1
Isosorbide Dinitrate	Gastroesophageal Reflux
Isosorbide Dinitrate	Pulmonary Hypertension, Primary, 1; Pph1
Isosorbide Dinitrate	Renal Failure, Progressive, With Hypertension
Isosorbide Mononitrate	Coronary Artery Disease, Autosomal Dominant, 1; Adcad1
Isosorbide Mononitrate	Gastroesophageal Reflux
Isotretinoin	Leukemia, Acute Myeloid; Aml
Isotretinoin	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
Isradipine	Hypertension, Diastolic, Resistance To
Isradipine	Raynaud Disease
Isradipine	Renal Failure, Progressive, With Hypertension
Itraconazole	Candidiasis, Familial, 1; Candf1
Itraconazole	Candidiasis, Familial, 2; Candf2
Itraconazole	Leishmaniasis, Tegumentary, Susceptibility To
Itraconazole	Onychotrichodysplasia And Neutropenia
Ketamine	Insensitivity To Pain With Hyperplastic Myelinopathy
Ketoprofen	Arthropathy, Progressive Pseudorheumatoid, Of Childhood; Ppac
Ketoprofen	Hyperthermia, Cutaneous, With Headaches And Nausea
Ketoprofen	Osteoarthritis Susceptibility 1; Os1
Ketoprofen	Osteoarthritis Susceptibility 2; Os2
Ketoprofen	Osteoarthritis Susceptibility 3; Os3
Ketoprofen	Sensory Ataxic Neuropathy, Dysarthria, And Ophthalmoparesis; Sando
Ketorolac	Ichthyosis Follicularis, Atrichia, And Photophobia Syndrome
Ketorolac	Insensitivity To Pain With Hyperplastic Myelinopathy
Labetalol	Blepharophimosis, Ptosis, And Epicanthus Inversus; Bpes
Labetalol	Hypertension, Diastolic, Resistance To
Labetalol	Mitral Valve Prolapse, Familial; Mvp
Labetalol	Pheochromocytoma
Labetalol	Renal Failure, Progressive, With Hypertension
L-Alanine	D-Bifunctional Protein Deficiency
Lamotrigine	Acromegaloid Changes, Cutis Verticis Gyrata, And Corneal Leukoma
Lamotrigine	Convulsive Disorder, Familial, With Prenatal Or Early Onset
Lamotrigine	Hyperphosphatemia, Polyuria, And Seizures
Lamotrigine	Schizophrenia; Sczd
Lansoprazole	Gastroesophageal Reflux
Lansoprazole	Helicobacter Pylori Infection, Susceptibility To
Lansoprazole	Tremor, Nystagmus, And Duodenal Ulcer
Lapatinib	Breast Cancer
Lapatinib	Mismatch Repair Cancer Syndrome
L-Arginine	D-Glyceric Acidemia
Latanoprost	Glaucoma 1, Open Angle, A; Glc1A
Latanoprost	Glaucoma 1, Open Angle, C; Glc1C
Latanoprost	Glaucoma, Primary Open Angle; Poag
Latanoprost	Renal Failure, Progressive, With Hypertension
L-Carnitine	Carnitine Deficiency, Systemic Primary; Cdsp
Lenalidomide	Myeloma, Multiple
Letrozole	Breast Cancer
Leucovorin	Colorectal Cancer; Crc
Leucovorin	Osteogenic Sarcoma
Leucovorin	Pronation-Supination Of The Forearm, Impairment Of
Leuprolide	Endometriosis, Susceptibility To, 1
Leuprolide	Leiomyoma, Uterine; Ul
Leuprolide	Polyps, Multiple And Recurrent Inflammatory Fibroid, Gastrointestinal
Leuprolide	Prostate Cancer
Leuprolide	Prostate Cancer, Hereditary, 1; Hpc1
Leuprolide	Prostatic Hyperplasia, Benign; Bph
Leuprolide	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
Levamisole	Mismatch Repair Cancer Syndrome
Levetiracetam	Convulsive Disorder, Familial, With Prenatal Or Early Onset
Levetiracetam	Epilepsy, Childhood Absence, Susceptibility To, 1; Eca1
Levetiracetam	Epilepsy, Childhood Absence, Susceptibility To, 2; Eca2
Levetiracetam	Epilepsy, Idiopathic Generalized, Susceptibility To, 11; Eig11
Levetiracetam	Epilepsy, Idiopathic Generalized, Susceptibility To, 7; Eig7
Levetiracetam	Epilepsy, Idiopathic Generalized, Susceptibility To, 9; Eig9
Levetiracetam	Epilepsy, Juvenile Absence, Susceptibility To, 1; Eja1
Levetiracetam	Epilepsy, Rolandic, With Paroxysmal Exercise-Induced Dystonia And
Levetiracetam	Epilepsy, X-Linked, With Variable Learning Disabilities And Behavior
Levetiracetam	Hyperphosphatemia, Polyuria, And Seizures
Levobunolol	Bernard-Soulier Syndrome; Bss
Levobunolol	Glaucoma 1, Open Angle, A; Glc1A
Levobunolol	May-Hegglin Anomaly; Mha
Levobunolol	Renal Failure, Progressive, With Hypertension
Levobunolol	Thrombasthenia Of Glanzmann And Naegeli
Levobupivacaine	Insensitivity To Pain With Hyperplastic Myelinopathy
Levodopa	Paralysis Agitans, Juvenile, Of Hunt
Levodopa	Restless Legs Syndrome, Susceptibility To, 1; Rls1
Levofloxacin	Asthma, Nasal Polyps, And Aspirin Intolerance
Levofloxacin	Otitis Media, Susceptibility To
Levonorgestrel	Endometriosis, Susceptibility To, 1
Levonorgestrel	Polycystic Ovary Syndrome 1; Pcos1
Levonorgestrel	Uterine Anomalies
Levothyroxine	Goiter, Multinodular 1; Mng1
Levothyroxine	Graves Disease
Levothyroxine	Hashimoto Thyroiditis
Levothyroxine	Myxedema
Lidocaine	Insensitivity To Pain With Hyperplastic Myelinopathy
Liothyronine	Goiter, Multinodular 1; Mng1
Liothyronine	Graves Disease
Liothyronine	Hashimoto Thyroiditis
Liothyronine	Myxedema
Lisdexamfetamine	Asperger Syndrome, X-Linked, Susceptibility To, 1
Lisdexamfetamine	Attention Deficit-Hyperactivity Disorder; Adhd
Lisinopril	Cerebral Arteriopathy, Autosomal Dominant, With Subcortical Infarcts
Lisinopril	Coronary Artery Disease, Autosomal Dominant, 1; Adcad1
Lisinopril	Hypertension, Diastolic, Resistance To
Lisinopril	Hypoparathyroidism, Sensorineural Deafness, And Renal Disease
Lisinopril	Renal Failure, Progressive, With Hypertension
L-Isoleucine	Encephalopathy With Intracranial Calcification, Growth Hormone Deficiency,
L-Isoleucine	Encephalopathy, Acute Necrotizing 1, Susceptibility To; Ane1
L-Isoleucine	Encephalopathy, Axonal, With Necrotizing Myopathy, Cardiomyopathy,
L-Isoleucine	Peripheral Neuropathy, Ataxia, Focal Necrotizing Encephalopathy, And
Lithium	Schizophrenia; Sczd
Lorazepam	Motor Neuropathy, Peripheral, With Dysautonomia
Lorazepam	Panic Disorder 1; Pand1
Lorazepam	Torticollis
Losartan	Hypertension, Diastolic, Resistance To
Losartan	Hypertension, Essential
Losartan	Hypoparathyroidism, Sensorineural Deafness, And Renal Disease
Losartan	Renal Failure, Progressive, With Hypertension
Lovastatin	Coronary Artery Disease, Autosomal Dominant, 1; Adcad1
Lovastatin	Hypercholesterolemia, Autosomal Dominant, Type B
Loxapine	Schizophrenia; Sczd
Magnesium	Gastroesophageal Reflux
Magnesium	Tremor, Nystagmus, And Duodenal Ulcer
Magnesium Sulfate	Convulsive Disorder, Familial, With Prenatal Or Early Onset
Magnesium Sulfate	Dyschondrosteosis And Nephritis
Magnesium Sulfate	Hyperphosphatemia, Polyuria, And Seizures
Magnesium Sulfate	Hypomagnesemia 5, Renal, With Ocular Involvement; Homg5
Magnesium Sulfate	Preeclampsia/Eclampsia 1; Pee1
Marinol	Autoimmune Disease
Masoprocol	Ankylosing Vertebral Hyperostosis With Tylosis
Mecamylamine	Gilles De La Tourette Syndrome; Gts
Mecamylamine	Hypertension, Diastolic, Resistance To
Mecamylamine	Hypertension, Essential
Mecamylamine	Renal Failure, Progressive, With Hypertension
Meclofenamic Acid	Insensitivity To Pain With Hyperplastic Myelinopathy
Medroxyprogesterone	Acroosteolysis With Osteoporosis And Changes In Skull And Mandible
Medroxyprogesterone	Endometriosis, Susceptibility To, 1
Medroxyprogesterone	Leiomyomatosis And Renal Cell Cancer, Hereditary
Medroxyprogesterone	Renal Cell Carcinoma, Nonpapillary; Rcc
Medroxyprogesterone	Uterine Anomalies
Megestrol	Autoimmune Disease
Megestrol	Breast Cancer
Megestrol	Uterine Anomalies
Meloxicam	Arthropathy, Progressive Pseudorheumatoid, Of Childhood; Ppac
Meloxicam	Exostoses With Anetodermia And Brachydactyly, Type E
Meloxicam	Osteoarthritis Susceptibility 1; Os1
Meloxicam	Osteoarthritis Susceptibility 2; Os2
Meloxicam	Osteoarthritis Susceptibility 3; Os3
Meloxicam	Sensory Ataxic Neuropathy, Dysarthria, And Ophthalmoparesis; Sando
Melphalan	Myeloma, Multiple
Melphalan	Neuroblastoma, Susceptibility To
Melphalan	Rhabdomyosarcoma 2; Rms2
Memantine	Alzheimer Disease, Familial Early-Onset, With Coexisting Amyloid And
Memantine	Alzheimer Disease; Ad
Memantine	Dementia/Parkinsonism With Non-Alzheimer Amyloid Plaques
Meperidine	Insensitivity To Pain With Hyperplastic Myelinopathy
Mephenytoin	Alopecia, Psychomotor Epilepsy, Pyorrhea, And Mental Subnormality
Meprobamate	Acanthosis Nigricans With Muscle Cramps And Acral Enlargement
Meprobamate	Choreoathetosis/Spasticity, Episodic; Cse
Meprobamate	Hyperthermia, Cutaneous, With Headaches And Nausea
Mercaptopurine	Inflammatory Bowel Disease 1; Ibd1
Mercaptopurine	Inflammatory Bowel Disease 11; Ibd11
Mercaptopurine	Leukemia, Chronic Lymphocytic, Susceptibility To, 2
Mercaptopurine	Leukemia, Chronic Lymphocytic; Cll
Mercaptopurine	Lymphoblastic Leukemia, Acute, With Lymphomatous Features; Lall
Mesalazine	Inflammatory Bowel Disease 1; Ibd1
Mesoridazine	Schizophrenia; Sczd
Metformin	Diabetes Mellitus, Noninsulin-Dependent; Niddm
Metformin	Maturity-Onset Diabetes Of The Young, Type 1; Mody1
Metformin	Maturity-Onset Diabetes Of The Young, Type 2; Mody2
Metformin	Maturity-Onset Diabetes Of The Young, Type 3; Mody3
Metformin	Polycystic Ovary Syndrome 1; Pcos1
Metformin	Pronation-Supination Of The Forearm, Impairment Of
Methadone	Insensitivity To Pain With Hyperplastic Myelinopathy
Methamphetamine	Attention Deficit-Hyperactivity Disorder; Adhd
Methamphetamine	Choroideremia With Deafness And Obesity
Methamphetamine	Obesity
Methamphetamine	Prolactin Deficiency With Obesity And Enlarged Testes
Methimazole	Graves Disease
Methotrexate	Ataxia, Early-Onset, With Oculomotor Apraxia And Hypoalbuminemia;
Methotrexate	Bladder Cancer
Methotrexate	Breast Cancer
Methotrexate	Colorectal Cancer; Crc
Methotrexate	Dohle Bodies And Leukemia
Methotrexate	Esophageal Cancer
Methotrexate	Gastric Cancer
Methotrexate	Growth Retardation, Small And Puffy Hands And Feet, And Eczema
Methotrexate	Hodgkin Lymphoma
Methotrexate	Hydatidiform Mole
Methotrexate	Leukemia, Acute Myelocytic, With Polyposis Coli And Colon Cancer
Methotrexate	Leukemia, Acute Myeloid; Aml
Methotrexate	Leukemia, Chronic Lymphocytic, Susceptibility To, 2
Methotrexate	Lichen Sclerosus Et Atrophicus; Lsa
Methotrexate	Lymphoblastic Leukemia, Acute, With Lymphomatous Features; Lall
Methotrexate	Mismatch Repair Cancer Syndrome
Methotrexate	Mycosis Fungoides
Methotrexate	Osteogenic Sarcoma
Methotrexate	Reticulum Cell Sarcoma
Methotrexate	Rhabdomyosarcoma 2; Rms2
Methotrexate	Small Cell Cancer Of The Lung
Methotrexate	Testicular Tumors
Methotrimeprazine	Insensitivity To Pain With Hyperplastic Myelinopathy
Methyclothiazide	Hydrops-Ectopic Calcification-Moth-Eaten Skeletal Dysplasia
Methyl Aminolevulinate	Ankylosing Vertebral Hyperostosis With Tylosis
Methyldopa	Hypertension, Diastolic, Resistance To
Methyldopa	Renal Failure, Progressive, With Hypertension
Methylergonovine	Migraine With Or Without Aura, Susceptibility To, 1
Methylphenidate	Attention Deficit-Hyperactivity Disorder; Adhd
Methylprednisolone	Asthma, Nasal Polyps, And Aspirin Intolerance
Methylprednisolone	Autoimmune Disease
Methylprednisolone	Immune Suppression; Is
Methylprednisolone	Insect Stings, Hypersensitivity To
Methylprednisolone	Mismatch Repair Cancer Syndrome
Methylprednisolone	Osteoarthritis Susceptibility 2; Os2
Metipranolol	Glaucoma 1, Open Angle, A; Glc1A
Metipranolol	Glaucoma 1, Open Angle, C; Glc1C
Metipranolol	Glaucoma, Primary Open Angle; Poag
Metoclopramide	Gastroesophageal Reflux
Metoclopramide	Migraine With Or Without Aura, Susceptibility To, 1
Metolazone	Hydrops-Ectopic Calcification-Moth-Eaten Skeletal Dysplasia
Metolazone	Hypertension, Diastolic, Resistance To
Metolazone	Renal Failure, Progressive, With Hypertension
Metoprolol	Atrial Fibrillation, Familial, 1; Atfb1
Metoprolol	Atrial Fibrillation, Familial, 3; Atfb3
Metoprolol	Blepharophimosis, Ptosis, And Epicanthus Inversus; Bpes
Metoprolol	Hypertension, Diastolic, Resistance To
Metoprolol	Mitral Valve Prolapse, Familial; Mvp
Metoprolol	Renal Failure, Progressive, With Hypertension
Metoprolol	Tremor, Hereditary Essential, 1; Etm1
Metyrosine	Pheochromocytoma
Mexiletine	Cardiac Arrhythmia
Miconazole	Candidiasis, Familial, 1; Candf1
Miconazole	Candidiasis, Familial, 2; Candf2
Midodrine	Mitral Valve Prolapse, Familial; Mvp
Midodrine	Motor Neuropathy, Peripheral, With Dysautonomia
Midodrine	Multiple System Atrophy; Msa
Miglitol	Diabetes Mellitus, Noninsulin-Dependent; Niddm
Miglitol	Maturity-Onset Diabetes Of The Young, Type 1; Mody1
Miglitol	Maturity-Onset Diabetes Of The Young, Type 2; Mody2
Miglitol	Maturity-Onset Diabetes Of The Young, Type 3; Mody3
Miglustat	Gaucher Disease, Type I
Minocycline	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
Minoxidil	Alopecia, Psychomotor Epilepsy, Pyorrhea, And Mental Subnormality
Minoxidil	Hypertension, Diastolic, Resistance To
Minoxidil	Renal Failure, Progressive, With Hypertension
Misoprostol	Osteoarthritis Susceptibility 2; Os2
Misoprostol	Tremor, Nystagmus, And Duodenal Ulcer
Mitomycin	Bladder Cancer
Mitomycin	Gastric Cancer
Mitoxantrone	Hodgkin Lymphoma
Mitoxantrone	Insensitivity To Pain With Hyperplastic Myelinopathy
Mitoxantrone	Leukemia, Acute Myeloid; Aml
Mitoxantrone	Leukemia, Chronic Lymphocytic, Susceptibility To, 2
Mitoxantrone	Lymphoblastic Leukemia, Acute, With Lymphomatous Features; Lall
Mitoxantrone	Multiple Sclerosis, Susceptibility To; Ms
Mitoxantrone	Prostate Cancer
Mitoxantrone	Reticulum Cell Sarcoma
Modafinil	Apnea, Obstructive Sleep
Modafinil	Attention Deficit-Hyperactivity Disorder; Adhd
Modafinil	Flushing Of Ears And Somnolence
Modafinil	Multiple Sclerosis, Susceptibility To; Ms
Moexipril	Hypertension, Diastolic, Resistance To
Moexipril	Hypoparathyroidism, Sensorineural Deafness, And Renal Disease
Moexipril	Renal Failure, Progressive, With Hypertension
Mometasone	Asthma, Nasal Polyps, And Aspirin Intolerance
Mometasone	Asthma, Susceptibility To
Mometasone	Growth Retardation, Small And Puffy Hands And Feet, And Eczema
Montelukast	Asthma, Nasal Polyps, And Aspirin Intolerance
Montelukast	Asthma, Susceptibility To
Montelukast	Berry Aneurysm, Cirrhosis, Pulmonary Emphysema, And Cerebral Calcification
Morphine	Insensitivity To Pain With Hyperplastic Myelinopathy
Moxifloxacin	Asthma, Nasal Polyps, And Aspirin Intolerance
Nabumetone	Insensitivity To Pain With Hyperplastic Myelinopathy
Nabumetone	Osteoarthritis Susceptibility 2; Os2
Nadolol	Blepharophimosis, Ptosis, And Epicanthus Inversus; Bpes
Nadolol	Hypertension, Diastolic, Resistance To
Nadolol	Mitral Valve Prolapse, Familial; Mvp
Nadolol	Renal Failure, Progressive, With Hypertension
Nadolol	Tremor, Hereditary Essential, 1; Etm1
Nadolol	Tremor, Nystagmus, And Duodenal Ulcer
Nalbuphine	Insensitivity To Pain With Hyperplastic Myelinopathy
Naltrexone	Alcohol Dependence
Naproxen	Arthropathy, Progressive Pseudorheumatoid, Of Childhood; Ppac
Naproxen	Exostoses Of Heel
Naproxen	Exostoses With Anetodermia And Brachydactyly, Type E
Naproxen	Hyperthermia, Cutaneous, With Headaches And Nausea
Naproxen	Insensitivity To Pain With Hyperplastic Myelinopathy
Naproxen	Legg-Calve-Perthes Disease
Naproxen	Migraine With Or Without Aura, Susceptibility To, 1
Naproxen	Motor Neuropathy, Peripheral, With Dysautonomia
Naproxen	Osteoarthritis Susceptibility 1; Os1
Naproxen	Osteoarthritis Susceptibility 2; Os2
Naproxen	Osteoarthritis Susceptibility 3; Os3
Naproxen	Sensory Ataxic Neuropathy, Dysarthria, And Ophthalmoparesis; Sando
Naratriptan	Migraine With Or Without Aura, Susceptibility To, 1
Nateglinide	Diabetes Mellitus, Noninsulin-Dependent; Niddm
Nateglinide	Maturity-Onset Diabetes Of The Young, Type 1; Mody1
Nateglinide	Maturity-Onset Diabetes Of The Young, Type 2; Mody2
Nateglinide	Maturity-Onset Diabetes Of The Young, Type 3; Mody3
Nebivolol	Blepharophimosis, Ptosis, And Epicanthus Inversus; Bpes
Nebivolol	Hypertension, Diastolic, Resistance To
Nebivolol	Mitral Valve Prolapse, Familial; Mvp
Nebivolol	Renal Failure, Progressive, With Hypertension
Nedocromil	Asthma, Nasal Polyps, And Aspirin Intolerance
Nedocromil	Asthma, Susceptibility To
Neostigmine	Myasthenia Gravis; Mg
Neostigmine	Permanent Molars, Secondary Retention Of
Niacin	Hypercholesterolemia, Autosomal Dominant, Type B
Niacin	Hyperlipoproteinemia, Type V
Nicardipine	Hypertension, Diastolic, Resistance To
Nicardipine	Renal Failure, Progressive, With Hypertension
Nifedipine	Hypertension, Diastolic, Resistance To
Nifedipine	Raynaud Disease
Nifedipine	Renal Failure, Progressive, With Hypertension
Nimodipine	Cerebral Arteriopathy, Autosomal Dominant, With Subcortical Infarcts
Nimodipine	Stroke, Ischemic
Nisoldipine	Hypertension, Diastolic, Resistance To
Nisoldipine	Raynaud Disease
Nisoldipine	Renal Failure, Progressive, With Hypertension
Nitroglycerin	Preeclampsia/Eclampsia 1; Pee1
Nitroglycerin	Raynaud Disease
Nitroprusside	Hypertension, Diastolic, Resistance To
Nitroprusside	Renal Failure, Progressive, With Hypertension
Nizatidine	Gastroesophageal Reflux
Nizatidine	Helicobacter Pylori Infection, Susceptibility To
Nizatidine	Immunodysregulation, Polyendocrinopathy, And Enteropathy, X-Linked;
Nizatidine	Tremor, Nystagmus, And Duodenal Ulcer
Norepinephrine	Multiple System Atrophy; Msa
Norethindrone	Acroosteolysis With Osteoporosis And Changes In Skull And Mandible
Norethindrone	Chorioretinal Dystrophy, Spinocerebellar Ataxia, And Hypogonadotropic
Norethindrone	Endometriosis, Susceptibility To, 1
Norethindrone	Polycystic Ovary Syndrome 1; Pcos1
Norethindrone	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
Norethindrone	Uterine Anomalies
Norgestimate	Endometriosis, Susceptibility To, 1
Norgestimate	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
Norgestimate	Uterine Anomalies
Nortriptyline	Attention Deficit-Hyperactivity Disorder; Adhd
Nortriptyline	Enuresis, Nocturnal, 1; Enur1
Nortriptyline	Enuresis, Nocturnal, 2; Enur2
Nortriptyline	Insensitivity To Pain With Hyperplastic Myelinopathy
Nortriptyline	Motor Neuropathy, Peripheral, With Dysautonomia
Nortriptyline	Panic Disorder 1; Pand1
Octreotide	Diabetes Mellitus, Insulin-Dependent, 2
Ofloxacin	Helicobacter Pylori Infection, Susceptibility To
Ofloxacin	Otitis Media, Susceptibility To
Olanzapine	Asperger Syndrome, X-Linked, Susceptibility To, 1
Olanzapine	Obsessive-Compulsive Disorder; Ocd
Olanzapine	Schizophrenia; Sczd
Olmesartan	Hypertension, Diastolic, Resistance To
Olmesartan	Renal Failure, Progressive, With Hypertension
Omeprazole	Gastroesophageal Reflux
Omeprazole	Helicobacter Pylori Infection, Susceptibility To
Omeprazole	Immunodysregulation, Polyendocrinopathy, And Enteropathy, X-Linked;
Omeprazole	Tremor, Nystagmus, And Duodenal Ulcer
Ondansetron	Alcohol Dependence
Ondansetron	Hyperthermia, Cutaneous, With Headaches And Nausea
Ondansetron	Obsessive-Compulsive Disorder; Ocd
Orciprenaline	Asthma, Nasal Polyps, And Aspirin Intolerance
Orciprenaline	Asthma, Susceptibility To
Orciprenaline	Berry Aneurysm, Cirrhosis, Pulmonary Emphysema, And Cerebral Calcification
Orlistat	Choroideremia With Deafness And Obesity
Orlistat	Obesity
Orlistat	Prolactin Deficiency With Obesity And Enlarged Testes
Orphenadrine	Acanthosis Nigricans With Muscle Cramps And Acral Enlargement
Orphenadrine	Insensitivity To Pain With Hyperplastic Myelinopathy
Orphenadrine	Migraine With Or Without Aura, Susceptibility To, 1
Orphenadrine	Myositis
Oxaprozin	Arthropathy, Progressive Pseudorheumatoid, Of Childhood; Ppac
Oxaprozin	Osteoarthritis Susceptibility 1; Os1
Oxaprozin	Osteoarthritis Susceptibility 2; Os2
Oxaprozin	Osteoarthritis Susceptibility 3; Os3
Oxaprozin	Sensory Ataxic Neuropathy, Dysarthria, And Ophthalmoparesis; Sando
Oxcarbazepine	Ataxia With Myoclonic Epilepsy And Presenile Dementia
Oxcarbazepine	Convulsive Disorder, Familial, With Prenatal Or Early Onset
Oxcarbazepine	Epilepsy, Childhood Absence, Susceptibility To, 1; Eca1
Oxcarbazepine	Epilepsy, Childhood Absence, Susceptibility To, 2; Eca2
Oxcarbazepine	Epilepsy, Idiopathic Generalized, Susceptibility To, 11; Eig11
Oxcarbazepine	Epilepsy, Idiopathic Generalized, Susceptibility To, 7; Eig7
Oxcarbazepine	Epilepsy, Idiopathic Generalized, Susceptibility To, 9; Eig9
Oxcarbazepine	Epilepsy, Juvenile Absence, Susceptibility To, 1; Eja1
Oxcarbazepine	Epilepsy, Rolandic, With Paroxysmal Exercise-Induced Dystonia And
Oxcarbazepine	Epilepsy, X-Linked, With Variable Learning Disabilities And Behavior
Oxcarbazepine	Retinal Degeneration And Epilepsy
Oxybutynin	Hyperhidrosis Palmaris Et Plantaris
Oxycodone	Insensitivity To Pain With Hyperplastic Myelinopathy
Oxymorphone	Insensitivity To Pain With Hyperplastic Myelinopathy
Paclitaxel	Breast Cancer
Paclitaxel	Kaposi Sarcoma
Paclitaxel	Wilms Tumor 1; Wt1
Paliperidone	Schizophrenia; Sczd
Palmitic Acid	Hypercarotenemia And Vitamin A Deficiency, Autosomal Dominant
Palmitic Acid	Hypercarotenemia And Vitamin A Deficiency, Autosomal Recessive
Pamidronate	Acroosteolysis
Pamidronate	Acroosteolysis With Osteoporosis And Changes In Skull And Mandible
Pamidronate	Breast Cancer
Pamidronate	Hypercalcemia, Idiopathic, Of Infancy
Pamidronate	Inclusion Body Myopathy With Early-Onset Paget Disease And Frontotemporal
Pamidronate	Mismatch Repair Cancer Syndrome
Pamidronate	Myeloma, Multiple
Pamidronate	Osteolysis, Hereditary, Of Carpal Bones With Or Without Nephropathy
Pamidronate	Osteoporosis
Pantoprazole	Gastroesophageal Reflux
Pantoprazole	Helicobacter Pylori Infection, Susceptibility To
Pantoprazole	Tremor, Nystagmus, And Duodenal Ulcer
Papaverine	Cardiac Arrhythmia
Papaverine	Pelger-Huet-Like Anomaly And Episodic Fever With Abdominal Pain
Papaverine	Raynaud Disease
Paroxetine	Camurati-Engelmann Disease
Paroxetine	Motor Neuropathy, Peripheral, With Dysautonomia
Paroxetine	Obsessive-Compulsive Disorder; Ocd
Paroxetine	Panic Disorder 1; Pand1
Pemetrexed	Mismatch Repair Cancer Syndrome
Penbutolol	Hypertension, Diastolic, Resistance To
Penbutolol	Renal Failure, Progressive, With Hypertension
Pentazocine	Insensitivity To Pain With Hyperplastic Myelinopathy
Pentosan Polysulfate	Insensitivity To Pain With Hyperplastic Myelinopathy
Pentostatin	Mismatch Repair Cancer Syndrome
Pentoxifylline	Cerebral Arteriopathy, Autosomal Dominant, With Subcortical Infarcts
Pentoxifylline	Mitochondrial Myopathy, Encephalopathy, Lactic Acidosis, And Stroke-Like
Pentoxifylline	Stroke, Ischemic
Pentoxifylline	Thrombosis, Susceptibility To
Pergolide	Paralysis Agitans, Juvenile, Of Hunt
Pergolide	Parkinson Disease; Pd
Perindopril	Cerebral Arteriopathy, Autosomal Dominant, With Subcortical Infarcts
Perindopril	Coronary Artery Disease, Autosomal Dominant, 1; Adcad1
Perindopril	Hypoparathyroidism, Sensorineural Deafness, And Renal Disease
Phendimetrazine	Choroideremia With Deafness And Obesity
Phendimetrazine	Obesity
Phendimetrazine	Prolactin Deficiency With Obesity And Enlarged Testes
Phenobarbital	Arthrogryposis, Renal Dysfunction, And Cholestasis 1; Arcs1
Phenobarbital	Convulsive Disorder, Familial, With Prenatal Or Early Onset
Phenobarbital	Crigler-Najjar Syndrome
Phenobarbital	Dubin-Johnson Syndrome; Djs
Phenobarbital	Enterocolitis
Phenobarbital	Epilepsy, Benign Neonatal, 1; Ebn1
Phenobarbital	Epilepsy, Benign Neonatal, 2; Ebn2
Phenobarbital	Epilepsy, Benign Neonatal, 3; Ebn3
Phenobarbital	Gilbert Syndrome
Phenobarbital	Hyperbilirubinemia, Rotor Type
Phenobarbital	Jaundice, Familial Obstructive, Of Infancy
Phenobarbital	Tremor, Nystagmus, And Duodenal Ulcer
Phenoxybenzamine	Pheochromocytoma
Phentermine	Choroideremia With Deafness And Obesity
Phentermine	Obesity
